0 46
11 5410 54
6 32
31 1731 18
31 1831 19
31 1931 20
31 2031 21
31 2131 22
31 2231 23
31 2331 24
31 2431 25
31 2531 26
31 2631 27
31 2731 28
31 2831 29
31 2931 30
31 3031 31
31 3131 32
31 3231 33
31 3331 34
31 3431 35
31 3531 36
31 3631 37
31 3730 37
30 3729 37
29 3728 37
28 3727 37
27 3726 37
26 3725 37
25 3724 37
24 3723 37
23 3722 37
22 3721 37
21 3720 37
20 3719 37
7 36
43 1243 13
43 1343 14
43 1443 15
43 1543 16
43 1643 17
43 1743 18
43 1843 19
43 1943 20
43 2043 21
43 2143 22
43 2243 23
43 2343 24
43 2443 25
43 2543 26
43 2643 27
43 2743 28
43 2843 29
43 2942 29
42 2941 29
41 2940 29
40 2939 29
39 2938 29
38 2937 29
37 2936 29
36 2935 29
35 2934 29
34 2933 29
33 2932 29
32 2931 29
31 2930 29
30 2929 29
29 2928 29
28 2927 29
27 2926 29
26 2925 29
25 2924 29
8 37
3 243 23
3 233 22
3 223 21
3 213 20
3 203 19
3 193 18
3 183 17
3 173 16
3 163 15
3 153 14
3 143 13
3 133 12
3 123 11
3 113 10
3 103 9
3 93 8
3 84 8
4 85 8
5 86 8
6 87 8
7 88 8
8 89 8
9 810 8
10 811 8
11 812 8
12 813 8
13 814 8
14 815 8
15 816 8
16 817 8
17 818 8
18 819 8
19 820 8
20 821 8
21 822 8
22 823 8
23 824 8
9 47
23 5723 56
23 5623 55
23 5523 54
23 5423 53
23 5323 52
23 5223 51
23 5123 50
23 5023 49
23 4923 48
23 4823 47
23 4723 46
23 4623 45
23 4523 44
23 4423 43
23 4323 42
23 4223 41
23 4123 40
23 4023 39
23 3923 38
23 3823 37
23 3723 36
23 3623 35
23 3523 34
23 3423 33
23 3323 32
23 3223 31
23 3123 30
23 3023 29
23 2923 28
23 2823 27
23 2723 26
23 2623 25
23 2523 24
23 2423 23
23 2323 22
23 2223 21
23 2123 20
23 2023 19
23 1923 18
23 1823 17
23 1723 16
23 1624 16
24 1625 16
25 1626 16
26 1627 16
27 1628 16
28 1629 16
10 36
52 653 6
53 654 6
54 655 6
55 656 6
56 657 6
57 658 6
58 658 7
58 758 8
58 858 9
58 958 10
58 1058 11
58 1158 12
58 1258 13
58 1358 14
58 1458 15
58 1558 16
58 1658 17
58 1758 18
58 1858 19
58 1958 20
58 2058 21
58 2158 22
58 2258 23
58 2358 24
58 2458 25
58 2558 26
58 2658 27
58 2758 28
58 2858 29
58 2958 30
58 3058 31
58 3158 32
58 3258 33
58 3358 34
58 3458 35
58 3558 36
11 13
30 630 5
30 530 4
30 430 3
30 330 2
30 230 1
30 130 0
30 029 0
29 028 0
28 027 0
27 026 0
26 025 0
25 024 0
24 023 0
12 40
37 5337 52
37 5237 51
37 5137 50
37 5037 49
37 4937 48
37 4837 47
37 4737 46
37 4637 45
37 4537 44
37 4437 43
37 4337 42
37 4237 41
37 4137 40
37 4037 39
37 3937 38
37 3837 37
37 3737 36
37 3637 35
37 3537 34
37 3438 34
38 3439 34
39 3440 34
40 3441 34
41 3442 34
42 3443 34
43 3444 34
44 3445 34
45 3446 34
46 3447 34
47 3448 34
48 3449 34
49 3450 34
50 3451 34
51 3452 34
52 3453 34
53 3454 34
54 3455 34
55 3456 34
56 3457 34
57 3458 34
13 27
16 2017 20
17 2018 20
18 2019 20
19 2020 20
20 2021 20
21 2022 20
22 2023 20
23 2023 21
23 2123 22
23 2223 23
23 2323 24
23 2423 25
23 2523 26
23 2623 27
23 2723 28
23 2823 29
23 2923 30
23 3023 31
23 3123 32
23 3223 33
23 3323 34
23 3423 35
23 3523 36
23 3623 37
23 3723 38
23 3823 39
23 3923 40
14 18
19 3719 36
19 3619 35
19 3519 34
19 3419 33
19 3319 32
19 3219 31
19 3119 30
19 3019 29
19 2919 28
19 2819 27
19 2719 26
19 2619 25
19 2519 24
19 2419 23
19 2319 22
19 2219 21
19 2119 20
19 2018 20
15 46
28 229 2
29 230 2
30 231 2
31 232 2
32 233 2
33 234 2
34 235 2
35 236 2
36 237 2
37 238 2
38 239 2
39 240 2
40 241 2
41 242 2
42 243 2
43 244 2
44 245 2
45 246 2
46 247 2
47 248 2
48 249 2
49 250 2
50 250 3
50 350 4
50 450 5
50 550 6
50 650 7
50 750 8
50 850 9
50 950 10
50 1050 11
50 1150 12
50 1250 13
50 1350 14
50 1450 15
50 1550 16
50 1650 17
50 1750 18
50 1850 19
50 1950 20
50 2050 21
50 2150 22
50 2250 23
50 2350 24
50 2450 25
50 2550 26
16 27
19 1420 14
20 1421 14
21 1422 14
22 1423 14
23 1424 14
24 1425 14
25 1426 14
26 1427 14
27 1428 14
28 1429 14
29 1430 14
30 1431 14
31 1432 14
32 1433 14
33 1434 14
34 1435 14
35 1436 14
36 1437 14
37 1438 14
38 1439 14
39 1440 14
40 1440 15
40 1540 16
40 1640 17
40 1740 18
40 1840 19
40 1940 20
17 6
32 1732 16
32 1632 15
32 1532 14
32 1431 14
31 1430 14
30 1429 14
18 42
43 4042 40
42 4041 40
41 4040 40
40 4039 40
39 4038 40
38 4037 40
37 4036 40
36 4035 40
35 4034 40
34 4033 40
33 4032 40
32 4031 40
31 4030 40
30 4029 40
29 4028 40
28 4027 40
27 4026 40
26 4025 40
25 4024 40
24 4023 40
23 4022 40
22 4021 40
21 4020 40
20 4019 40
19 4018 40
18 4017 40
17 4016 40
16 4015 40
15 4014 40
14 4013 40
13 4012 40
12 4011 40
11 4010 40
10 409 40
9 408 40
8 407 40
7 406 40
6 405 40
5 404 40
4 403 40
3 402 40
2 401 40
19 27
42 142 2
42 242 3
42 342 4
42 442 5
42 542 6
42 642 7
42 742 8
42 842 9
42 942 10
42 1042 11
42 1142 12
42 1242 13
42 1342 14
42 1442 15
42 1542 16
42 1642 17
42 1742 18
42 1842 19
42 1942 20
42 2042 21
42 2141 21
41 2140 21
40 2139 21
39 2138 21
38 2137 21
37 2136 21
36 2135 21
20 23
5 425 41
5 416 41
6 417 41
7 418 41
8 419 41
9 4110 41
10 4111 41
11 4112 41
12 4113 41
13 4114 41
14 4115 41
15 4116 41
16 4117 41
17 4118 41
18 4119 41
19 4120 41
20 4121 41
21 4122 41
22 4123 41
23 4124 41
24 4125 41
25 4126 41
26 4127 41
21 16
9 59 6
9 69 7
9 79 8
9 89 9
9 99 10
9 109 11
9 119 12
9 128 12
8 127 12
7 126 12
6 125 12
5 124 12
4 123 12
3 122 12
2 121 12
1 120 12
22 11
38 4039 40
39 4040 40
40 4041 40
41 4042 40
42 4043 40
43 4044 40
44 4045 40
45 4046 40
46 4046 41
46 4146 42
46 4246 43
23 36
3 583 57
3 573 56
3 563 55
3 553 54
3 543 53
3 533 52
3 523 51
3 513 50
3 503 49
3 493 48
3 483 47
3 473 46
3 463 45
3 453 44
3 443 43
3 433 42
3 423 41
3 413 40
3 403 39
3 393 38
3 383 37
3 373 36
3 363 35
3 353 34
3 343 33
3 333 32
3 323 31
3 313 30
3 303 29
3 293 28
3 283 27
3 273 26
3 264 26
4 265 26
5 266 26
6 267 26
24 38
15 3515 34
15 3415 33
15 3315 32
15 3215 31
15 3115 30
15 3015 29
15 2915 28
15 2815 27
15 2715 26
15 2615 25
15 2515 24
15 2416 24
16 2417 24
17 2418 24
18 2419 24
19 2420 24
20 2421 24
21 2422 24
22 2423 24
23 2424 24
24 2425 24
25 2426 24
26 2427 24
27 2428 24
28 2429 24
29 2430 24
30 2431 24
31 2432 24
32 2433 24
33 2434 24
34 2435 24
35 2436 24
36 2437 24
37 2438 24
38 2439 24
39 2440 24
40 2441 24
41 2442 24
25 35
57 3657 37
57 3757 38
57 3857 39
57 3957 40
57 4057 41
57 4157 42
57 4257 43
57 4357 44
57 4457 45
57 4557 46
57 4656 46
56 4655 46
55 4654 46
54 4653 46
53 4652 46
52 4651 46
51 4650 46
50 4649 46
49 4648 46
48 4647 46
47 4646 46
46 4645 46
45 4644 46
44 4643 46
43 4642 46
42 4641 46
41 4640 46
40 4639 46
39 4638 46
38 4637 46
37 4636 46
36 4635 46
35 4634 46
34 4633 46
33 4632 46
26 48
20 1720 18
20 1820 19
20 1920 20
20 2020 21
20 2120 22
20 2220 23
20 2320 24
20 2420 25
20 2520 26
20 2620 27
20 2720 28
20 2820 29
20 2920 30
20 3020 31
20 3120 32
20 3220 33
20 3320 34
20 3420 35
20 3520 36
20 3620 37
20 3720 38
20 3820 39
20 3920 40
20 4020 41
20 4120 42
20 4220 43
20 4320 44
20 4420 45
20 4520 46
20 4620 47
20 4720 48
20 4820 49
20 4920 50
20 5020 51
20 5120 52
20 5220 53
20 5320 54
20 5420 55
20 5520 56
20 5620 57
20 5720 58
20 5820 59
20 5919 59
19 5918 59
18 5917 59
17 5916 59
16 5915 59
15 5914 59
27 48
10 2910 28
10 2810 27
10 2710 26
10 2610 25
10 2510 24
10 2410 23
10 2310 22
10 2210 21
10 2110 20
10 2010 19
10 1910 18
10 1810 17
10 1710 16
10 1610 15
10 1510 14
10 1410 13
10 1310 12
10 1210 11
10 1110 10
10 1010 9
10 910 8
10 810 7
10 710 6
10 610 5
10 510 4
10 411 4
11 412 4
12 413 4
13 414 4
14 415 4
15 416 4
16 417 4
17 418 4
18 419 4
19 420 4
20 421 4
21 422 4
22 423 4
23 424 4
24 425 4
25 426 4
26 427 4
27 428 4
28 429 4
29 430 4
30 431 4
31 432 4
32 433 4
28 19
36 237 2
37 238 2
38 239 2
39 240 2
40 241 2
41 242 2
42 243 2
43 244 2
44 245 2
45 245 3
45 345 4
45 445 5
45 545 6
45 645 7
45 745 8
45 845 9
45 945 10
45 1045 11
45 1145 12
29 35
2 222 21
2 212 20
2 202 19
2 192 18
2 182 17
2 172 16
2 162 15
2 152 14
2 142 13
2 132 12
2 122 11
2 112 10
2 102 9
2 92 8
2 82 7
2 72 6
2 62 5
2 52 4
2 42 3
2 32 2
2 22 1
2 13 1
3 14 1
4 15 1
5 16 1
6 17 1
7 18 1
8 19 1
9 110 1
10 111 1
11 112 1
12 113 1
13 114 1
14 115 1
15 116 1
30 14
26 4726 48
26 4826 49
26 4926 50
26 5026 51
26 5126 52
26 5226 53
26 5326 54
26 5426 55
26 5526 56
26 5626 57
26 5726 58
26 5825 58
25 5824 58
24 5823 58
31 18
15 2315 24
15 2415 25
15 2515 26
15 2615 27
15 2715 28
15 2815 29
15 2915 30
15 3015 31
15 3115 32
15 3215 33
15 3315 34
15 3415 35
15 3515 36
15 3615 37
15 3715 38
15 3815 39
15 3914 39
14 3913 39
32 27
38 3438 33
38 3338 32
38 3238 31
38 3138 30
38 3038 29
38 2938 28
38 2838 27
38 2738 26
38 2638 25
38 2538 24
38 2437 24
37 2436 24
36 2435 24
35 2434 24
34 2433 24
33 2432 24
32 2431 24
31 2430 24
30 2429 24
29 2428 24
28 2427 24
27 2426 24
26 2425 24
25 2424 24
24 2423 24
23 2422 24
22 2421 24
33 9
33 1033 9
33 933 8
33 833 7
33 733 6
33 633 5
33 533 4
33 434 4
34 435 4
35 436 4
34 40
6 276 26
6 266 25
6 256 24
6 246 23
6 236 22
6 226 21
6 216 20
6 206 19
6 196 18
6 186 17
6 176 16
6 166 15
6 156 14
6 146 13
6 136 12
6 127 12
7 128 12
8 129 12
9 1210 12
10 1211 12
11 1212 12
12 1213 12
13 1214 12
14 1215 12
15 1216 12
16 1217 12
17 1218 12
18 1219 12
19 1220 12
20 1221 12
21 1222 12
22 1223 12
23 1224 12
24 1225 12
25 1226 12
26 1227 12
27 1228 12
28 1229 12
29 1230 12
30 1231 12
35 25
26 4426 43
26 4326 42
26 4226 41
26 4126 40
26 4026 39
26 3926 38
26 3826 37
26 3726 36
26 3626 35
26 3526 34
26 3426 33
26 3326 32
26 3226 31
26 3126 30
26 3026 29
26 2926 28
26 2826 27
26 2726 26
26 2626 25
26 2527 25
27 2528 25
28 2529 25
29 2530 25
30 2531 25
31 2532 25
36 30
27 627 7
27 727 8
27 827 9
27 927 10
27 1027 11
27 1127 12
27 1227 13
27 1327 14
27 1427 15
27 1527 16
27 1627 17
27 1726 17
26 1725 17
25 1724 17
24 1723 17
23 1722 17
22 1721 17
21 1720 17
20 1719 17
19 1718 17
18 1717 17
17 1716 17
16 1715 17
15 1714 17
14 1713 17
13 1712 17
12 1711 17
11 1710 17
10 179 17
9 178 17
37 39
49 5449 53
49 5349 52
49 5249 51
49 5149 50
49 5049 49
49 4949 48
49 4849 47
49 4749 46
49 4649 45
49 4549 44
49 4449 43
49 4349 42
49 4249 41
49 4149 40
49 4049 39
49 3949 38
49 3849 37
49 3749 36
49 3649 35
49 3549 34
49 3449 33
49 3349 32
49 3249 31
49 3149 30
49 3049 29
49 2949 28
49 2849 27
49 2748 27
48 2747 27
47 2746 27
46 2745 27
45 2744 27
44 2743 27
43 2742 27
42 2741 27
41 2740 27
40 2739 27
39 2738 27
38 2737 27
38 8
37 3337 32
37 3237 31
37 3138 31
38 3139 31
39 3140 31
40 3141 31
41 3142 31
42 3143 31
39 18
35 035 1
35 135 2
35 235 3
35 335 4
35 435 5
35 535 6
35 635 7
35 735 8
35 835 9
35 935 10
35 1035 11
35 1134 11
34 1133 11
33 1132 11
32 1131 11
31 1130 11
30 1129 11
29 1128 11
40 28
15 4216 42
16 4217 42
17 4218 42
18 4219 42
19 4220 42
20 4221 42
21 4222 42
22 4223 42
23 4224 42
24 4225 42
25 4226 42
26 4226 43
26 4326 44
26 4426 45
26 4526 46
26 4626 47
26 4726 48
26 4826 49
26 4926 50
26 5026 51
26 5126 52
26 5226 53
26 5326 54
26 5426 55
26 5526 56
26 5626 57
26 5726 58
26 5826 59
41 31
17 4118 41
18 4119 41
19 4120 41
20 4121 41
21 4122 41
22 4123 41
23 4124 41
24 4125 41
25 4126 41
26 4127 41
27 4128 41
28 4129 41
29 4130 41
30 4131 41
31 4132 41
32 4133 41
33 4134 41
34 4135 41
35 4136 41
36 4137 41
37 4138 41
38 4139 41
39 4139 42
39 4239 43
39 4339 44
39 4439 45
39 4539 46
39 4639 47
39 4739 48
39 4839 49
39 4939 50
42 17
31 4431 43
31 4331 42
31 4231 41
31 4131 40
31 4031 39
31 3931 38
31 3831 37
31 3731 36
31 3631 35
31 3531 34
31 3431 33
31 3332 33
32 3333 33
33 3334 33
34 3335 33
35 3336 33
36 3337 33
43 40
43 144 1
44 145 1
45 146 1
46 147 1
47 147 2
47 247 3
47 347 4
47 447 5
47 547 6
47 647 7
47 747 8
47 847 9
47 947 10
47 1047 11
47 1147 12
47 1247 13
47 1347 14
47 1447 15
47 1547 16
47 1647 17
47 1747 18
47 1847 19
47 1947 20
47 2047 21
47 2147 22
47 2247 23
47 2347 24
47 2447 25
47 2547 26
47 2647 27
47 2747 28
47 2847 29
47 2947 30
47 3047 31
47 3147 32
47 3247 33
47 3347 34
47 3447 35
47 3547 36
47 3647 37
44 31
58 3258 31
58 3158 30
58 3058 29
58 2958 28
58 2858 27
58 2758 26
58 2658 25
58 2558 24
58 2458 23
58 2358 22
58 2258 21
58 2158 20
58 2058 19
58 1958 18
58 1858 17
58 1758 16
58 1658 15
58 1558 14
58 1458 13
58 1358 12
58 1258 11
58 1158 10
58 1058 9
58 958 8
58 857 8
57 856 8
56 855 8
55 854 8
54 853 8
53 852 8
52 851 8
45 26
41 2741 26
41 2641 25
41 2541 24
41 2441 23
41 2341 22
41 2241 21
41 2141 20
41 2040 20
40 2039 20
39 2038 20
38 2037 20
37 2036 20
36 2035 20
35 2034 20
34 2033 20
33 2032 20
32 2031 20
31 2030 20
30 2029 20
29 2028 20
28 2027 20
27 2026 20
26 2025 20
25 2024 20
24 2023 20
23 2022 20
46 29
52 4052 41
52 4152 42
52 4252 43
52 4352 44
52 4452 45
52 4552 46
52 4652 47
52 4752 48
52 4852 49
52 4952 50
52 5052 51
52 5152 52
52 5252 53
52 5352 54
52 5452 55
52 5552 56
52 5652 57
52 5751 57
51 5750 57
50 5749 57
49 5748 57
48 5747 57
47 5746 57
46 5745 57
45 5744 57
44 5743 57
43 5742 57
42 5741 57
41 5740 57
47 34
8 278 26
8 268 25
8 258 24
8 248 23
8 238 22
8 228 21
8 218 20
8 208 19
8 198 18
8 188 17
8 178 16
8 168 15
8 158 14
8 148 13
8 138 12
8 128 11
8 118 10
8 108 9
8 98 8
8 88 7
8 78 6
8 68 5
8 58 4
8 48 3
8 38 2
8 28 1
8 18 0
8 07 0
7 06 0
6 05 0
5 04 0
4 03 0
3 02 0
2 01 0
48 22
52 2353 23
53 2353 24
53 2453 25
53 2553 26
53 2653 27
53 2753 28
53 2853 29
53 2953 30
53 3053 31
53 3153 32
53 3253 33
53 3353 34
53 3453 35
53 3553 36
53 3653 37
53 3753 38
53 3853 39
53 3953 40
53 4053 41
53 4153 42
53 4253 43
53 4353 44
49 28
9 339 32
9 329 31
9 319 30
9 309 29
9 299 28
9 289 27
9 279 26
9 269 25
9 259 24
9 249 23
9 239 22
9 2210 22
10 2211 22
11 2212 22
12 2213 22
13 2214 22
14 2215 22
15 2216 22
16 2217 22
17 2218 22
18 2219 22
19 2220 22
20 2221 22
21 2222 22
22 2223 22
23 2224 22
24 2225 22
25 2226 22
50 40
59 5259 51
59 5159 50
59 5059 49
59 4958 49
58 4957 49
57 4956 49
56 4955 49
55 4954 49
54 4953 49
53 4952 49
52 4951 49
51 4950 49
50 4949 49
49 4948 49
48 4947 49
47 4946 49
46 4945 49
45 4944 49
44 4943 49
43 4942 49
42 4941 49
41 4940 49
40 4939 49
39 4938 49
38 4937 49
37 4936 49
36 4935 49
35 4934 49
34 4933 49
33 4932 49
32 4931 49
31 4930 49
30 4929 49
29 4928 49
28 4927 49
27 4926 49
26 4925 49
25 4924 49
24 4923 49
23 4922 49
51 33
8 79 7
9 710 7
10 711 7
11 712 7
12 713 7
13 714 7
14 715 7
15 716 7
16 717 7
17 718 7
18 719 7
19 720 7
20 721 7
21 722 7
22 723 7
23 724 7
24 725 7
25 726 7
26 727 7
27 728 7
28 728 8
28 828 9
28 928 10
28 1028 11
28 1128 12
28 1228 13
28 1328 14
28 1428 15
28 1528 16
28 1628 17
28 1728 18
28 1828 19
28 1928 20
52 21
39 839 7
39 739 6
39 639 5
39 539 4
39 439 3
39 339 2
39 239 1
39 139 0
39 040 0
40 041 0
41 042 0
42 043 0
43 044 0
44 045 0
45 046 0
46 047 0
47 048 0
48 049 0
49 050 0
50 051 0
51 052 0
53 27
9 579 56
9 569 55
9 559 54
9 5410 54
10 5411 54
11 5412 54
12 5413 54
13 5414 54
14 5415 54
15 5416 54
16 5417 54
17 5418 54
18 5419 54
19 5420 54
20 5421 54
21 5422 54
22 5423 54
23 5424 54
24 5425 54
25 5426 54
26 5427 54
27 5428 54
28 5429 54
29 5430 54
30 5431 54
31 5432 54
32 5433 54
54 15
19 5419 53
19 5319 52
19 5219 51
19 5119 50
19 5019 49
19 4919 48
19 4819 47
19 4719 46
19 4619 45
19 4519 44
19 4419 43
19 4319 42
19 4218 42
18 4217 42
17 4216 42
55 32
27 4627 45
27 4527 44
27 4427 43
27 4328 43
28 4329 43
29 4330 43
30 4331 43
31 4332 43
32 4333 43
33 4334 43
34 4335 43
35 4336 43
36 4337 43
37 4338 43
38 4339 43
39 4340 43
40 4341 43
41 4342 43
42 4343 43
43 4344 43
44 4345 43
45 4346 43
46 4347 43
47 4348 43
48 4349 43
49 4350 43
50 4351 43
51 4352 43
52 4353 43
53 4354 43
54 4355 43
55 4356 43
56 43
43 643 5
43 542 5
42 541 5
41 540 5
40 539 5
39 538 5
38 537 5
37 536 5
36 535 5
35 534 5
34 533 5
33 532 5
32 531 5
31 530 5
30 529 5
29 528 5
28 527 5
27 526 5
26 525 5
25 524 5
24 523 5
23 522 5
22 521 5
21 520 5
20 519 5
19 518 5
18 517 5
17 516 5
16 515 5
15 514 5
14 513 5
13 512 5
12 511 5
11 510 5
10 59 5
9 58 5
8 57 5
7 56 5
6 55 5
5 54 5
4 53 5
3 52 5
2 51 5
57 31
36 1136 12
36 1236 13
36 1336 14
36 1436 15
36 1536 16
36 1636 17
36 1736 18
36 1836 19
36 1936 20
36 2036 21
36 2136 22
36 2236 23
36 2336 24
36 2436 25
36 2536 26
36 2636 27
36 2736 28
36 2836 29
36 2935 29
35 2934 29
34 2933 29
33 2932 29
32 2931 29
31 2930 29
30 2929 29
29 2928 29
28 2927 29
27 2926 29
26 2925 29
25 2924 29
24 2923 29
58 6
37 5637 55
37 5537 54
37 5436 54
36 5435 54
35 5434 54
34 5433 54
59 30
27 4527 44
27 4427 43
27 4327 42
27 4227 41
27 4127 40
27 4027 39
27 3927 38
27 3827 37
27 3727 36
27 3627 35
27 3527 34
27 3427 33
27 3327 32
27 3227 31
27 3127 30
27 3027 29
27 2927 28
27 2827 27
27 2727 26
27 2628 26
28 2629 26
29 2630 26
30 2631 26
31 2632 26
32 2633 26
33 2634 26
34 2635 26
35 2636 26
36 2637 26
37 2638 26
60 28
15 2015 21
15 2115 22
15 2215 23
15 2315 24
15 2415 25
15 2515 26
15 2615 27
15 2715 28
15 2815 29
15 2915 30
15 3015 31
15 3115 32
15 3215 33
15 3315 34
15 3415 35
15 3515 36
15 3615 37
15 3715 38
15 3815 39
15 3915 40
15 4015 41
15 4115 42
15 4215 43
15 4315 44
15 4415 45
15 4515 46
15 4615 47
15 4714 47
61 42
42 4842 47
42 4742 46
42 4642 45
42 4542 44
42 4442 43
42 4342 42
42 4242 41
42 4142 40
42 4042 39
42 3942 38
42 3842 37
42 3742 36
42 3642 35
42 3542 34
42 3442 33
42 3342 32
42 3242 31
42 3142 30
42 3042 29
42 2942 28
42 2842 27
42 2742 26
42 2641 26
41 2640 26
40 2639 26
39 2638 26
38 2637 26
37 2636 26
36 2635 26
35 2634 26
34 2633 26
33 2632 26
32 2631 26
31 2630 26
30 2629 26
29 2628 26
28 2627 26
27 2626 26
26 2625 26
25 2624 26
24 2623 26
23 2622 26
62 47
12 5012 49
12 4913 49
13 4914 49
14 4915 49
15 4916 49
16 4917 49
17 4918 49
18 4919 49
19 4920 49
20 4921 49
21 4922 49
22 4923 49
23 4924 49
24 4925 49
25 4926 49
26 4927 49
27 4928 49
28 4929 49
29 4930 49
30 4931 49
31 4932 49
32 4933 49
33 4934 49
34 4935 49
35 4936 49
36 4937 49
37 4938 49
38 4939 49
39 4940 49
40 4941 49
41 4942 49
42 4943 49
43 4944 49
44 4945 49
45 4946 49
46 4947 49
47 4948 49
48 4949 49
49 4950 49
50 4951 49
51 4952 49
52 4953 49
53 4954 49
54 4955 49
55 4956 49
56 4957 49
57 4958 49
63 25
25 5625 55
25 5525 54
25 5424 54
24 5423 54
23 5422 54
22 5421 54
21 5420 54
20 5419 54
19 5418 54
18 5417 54
17 5416 54
16 5415 54
15 5414 54
14 5413 54
13 5412 54
12 5411 54
11 5410 54
10 549 54
9 548 54
8 547 54
7 546 54
6 545 54
5 544 54
4 543 54
3 542 54
64 38
51 851 9
51 951 10
51 1051 11
51 1151 12
51 1251 13
51 1351 14
51 1451 15
51 1551 16
51 1651 17
51 1751 18
51 1851 19
51 1950 19
50 1949 19
49 1948 19
48 1947 19
47 1946 19
46 1945 19
45 1944 19
44 1943 19
43 1942 19
42 1941 19
41 1940 19
40 1939 19
39 1938 19
38 1937 19
37 1936 19
36 1935 19
35 1934 19
34 1933 19
33 1932 19
32 1931 19
31 1930 19
30 1929 19
29 1928 19
28 1927 19
27 1926 19
26 1925 19
25 1924 19
65 31
16 3417 34
17 3418 34
18 3419 34
19 3420 34
20 3421 34
21 3422 34
22 3423 34
23 3424 34
24 3425 34
25 3426 34
26 3427 34
27 3428 34
28 3428 35
28 3528 36
28 3628 37
28 3728 38
28 3828 39
28 3928 40
28 4028 41
28 4128 42
28 4228 43
28 4328 44
28 4428 45
28 4528 46
28 4628 47
28 4728 48
28 4828 49
28 4928 50
28 5028 51
28 5128 52
28 5228 53
66 35
31 4132 41
32 4133 41
33 4134 41
34 4135 41
35 4136 41
36 4137 41
37 4138 41
38 4139 41
39 4140 41
40 4141 41
41 4142 41
42 4143 41
43 4144 41
44 4145 41
45 4146 41
46 4147 41
47 4148 41
48 4149 41
49 4150 41
50 4151 41
51 4152 41
52 4153 41
53 4154 41
54 4155 41
55 4156 41
56 4157 41
57 4158 41
58 4159 41
59 4159 42
59 4259 43
59 4359 44
59 4459 45
59 4559 46
59 4659 47
59 4759 48
67 19
8 18 2
8 28 3
8 38 4
8 48 5
8 58 6
8 68 7
8 78 8
8 88 9
8 98 10
8 108 11
8 118 12
8 128 13
8 138 14
8 148 15
8 158 16
8 168 17
8 177 17
7 176 17
6 175 17
68 35
6 446 43
6 436 42
6 426 41
6 416 40
6 406 39
6 396 38
6 386 37
6 376 36
6 366 35
6 356 34
6 347 34
7 348 34
8 349 34
9 3410 34
10 3411 34
11 3412 34
12 3413 34
13 3414 34
14 3415 34
15 3416 34
16 3417 34
17 3418 34
18 3419 34
19 3420 34
20 3421 34
21 3422 34
22 3423 34
23 3424 34
24 3425 34
25 3426 34
26 3427 34
27 3428 34
28 3429 34
29 3430 34
